id,age,income,home_ownership,emplyment_length,loan_intent,loan_amount,loan_interest_rate,loan_income_ratio,payment_default_on_file,credit_history_length,max_allowed_loan
36006,40.0,101877,3,8,2,12800,7.88,0.12,0,14,12800
52214,40.0,52000,3,2,2,12800,10.99,0.25,0,17,12800
1370,40.0,90000,0,19,5,12000,12.61,0.13,0,13,12000
2903,40.0,60000,0,15,4,12000,14.27,0.2,0,16,12000
4061,40.0,65000,0,7,3,12000,8.94,0.18,0,12,12000
5708,40.0,60000,3,5,2,12000,11.71,0.2,0,14,12000
12423,40.0,40000,3,2,1,12000,7.9,0.3,0,11,12000
17095,40.0,60000,3,5,4,12000,11.71,0.2,0,13,12000
18188,40.0,50000,3,4,2,12000,13.99,0.24,1,16,12000
18945,40.0,132000,3,1,2,12000,12.87,0.09,0,16,12000
21626,40.0,55000,0,3,1,12000,15.2,0.22,0,14,12000
24616,40.0,53000,3,7,4,12000,16.77,0.23,0,16,12000
25436,40.0,150000,0,5,5,12000,7.29,0.08,0,17,12000
28875,40.0,60000,3,6,4,12000,13.49,0.2,0,16,12000
29748,40.0,54000,3,4,0,12000,11.36,0.22,0,17,12000
30387,40.0,180000,3,2,0,12000,7.51,0.07,0,13,12000
33200,40.0,75000,0,7,4,12000,7.88,0.17,0,13,12000
33475,40.0,55000,3,3,1,12000,14.27,0.22,0,15,12000
34724,40.0,110000,0,0,3,12000,10.37,0.11,0,15,12000
36271,40.0,50000,0,6,0,12000,10.37,0.24,0,14,12000
43211,40.0,130000,0,3,4,12000,9.91,0.09,0,15,12000
47830,40.0,75000,0,3,3,12000,7.51,0.16,0,13,12000
48808,40.0,90000,0,11,1,12000,10.0,0.13,0,11,12000
50469,40.0,100000,0,0,2,12000,8.59,0.12,0,15,12000
50929,40.0,72000,3,3,4,12000,14.27,0.17,1,15,12000
52413,40.0,38000,2,10,5,12000,5.42,0.32,0,16,12000
56306,40.0,85000,2,16,5,12000,7.51,0.14,0,14,12000
56882,40.0,123735,0,8,4,12000,7.88,0.1,0,12,12000
57948,40.0,110000,3,1,5,12000,6.99,0.11,0,15,12000
20953,40.0,130000,0,6,3,11800,11.14,0.09,0,13,11800
7237,40.0,65000,3,6,3,11500,12.87,0.18,1,17,11500
36759,40.0,40000,3,0,4,11500,14.26,0.28,0,12,11500
18322,40.0,95000,0,3,2,11200,14.27,0.12,0,16,11200
31460,40.0,50000,0,5,5,11000,5.99,0.22,0,14,11000
41438,40.0,130000,0,1,4,11000,10.99,0.08,0,12,11000
6230,40.0,125000,3,3,5,10200,8.49,0.08,0,17,10200
39124,40.0,74000,3,7,3,10200,12.53,0.14,0,17,10200
1533,40.0,57600,3,1,4,10000,13.61,0.17,0,11,10000
4512,40.0,60000,0,12,0,10000,7.14,0.17,0,14,10000
4690,40.0,50000,0,2,1,10000,15.28,0.2,1,17,10000
5406,40.0,120000,0,2,2,10000,10.37,0.08,0,12,10000
6046,40.0,90000,3,1,3,10000,11.86,0.11,0,12,10000
9058,40.0,35640,0,2,3,10000,7.88,0.28,0,11,10000
11669,40.0,150000,0,8,3,10000,7.29,0.07,0,12,10000
12333,40.0,82000,2,10,1,10000,9.99,0.12,0,11,10000
12800,40.0,63000,0,0,3,10000,10.74,0.16,0,14,10000
14425,40.0,102000,0,2,3,10000,9.63,0.1,0,14,10000
15656,40.0,36000,0,3,4,10000,5.99,0.28,0,17,10000
16192,40.0,175500,0,2,2,10000,12.18,0.06,0,15,10000
19998,40.0,125000,3,3,1,10000,14.27,0.08,0,15,10000
20391,40.0,42000,3,4,5,10000,7.9,0.24,0,15,10000
21477,40.0,85000,0,18,3,10000,9.99,0.12,0,12,10000
21586,40.0,98000,0,5,5,10000,11.48,0.1,0,11,10000
21620,40.0,60000,0,12,5,10000,10.36,0.17,0,16,10000
21809,40.0,75996,0,15,3,10000,6.91,0.13,0,16,10000
24574,40.0,200000,0,2,0,10000,7.9,0.05,0,14,10000
24588,40.0,40000,0,4,3,10000,5.99,0.25,0,16,10000
24910,40.0,75000,0,0,1,10000,10.95,0.13,0,14,10000
27382,40.0,60000,3,5,3,10000,10.59,0.17,0,17,10000
28950,40.0,44000,3,4,5,10000,6.62,0.23,0,17,10000
29040,40.0,50000,3,5,5,10000,6.62,0.2,0,16,10000
31023,40.0,70000,3,2,1,10000,10.65,0.14,0,12,10000
33472,40.0,38004,3,4,3,10000,9.63,0.26,0,13,10000
35957,40.0,120000,0,2,3,10000,11.99,0.08,0,11,10000
36504,40.0,60000,3,2,5,10000,13.43,0.17,1,14,10000
37578,40.0,100000,2,16,3,10000,7.49,0.1,0,17,10000
37688,40.0,60000,0,4,2,10000,7.88,0.17,0,16,10000
39837,40.0,112500,0,2,2,10000,10.25,0.09,0,12,10000
42555,40.0,108288,0,13,0,10000,10.37,0.09,0,14,10000
42797,40.0,39000,0,6,2,10000,11.48,0.26,0,15,10000
52293,40.0,150000,0,5,1,10000,7.9,0.07,0,13,10000
52478,40.0,60000,3,5,2,10000,13.43,0.17,0,17,10000
52699,40.0,80000,0,3,2,10000,11.49,0.13,0,17,10000
55136,40.0,67000,3,13,0,10000,10.74,0.15,0,14,10000
56908,40.0,50000,3,3,2,10000,6.62,0.2,0,15,10000
57064,40.0,70000,0,2,1,10000,14.27,0.14,1,12,10000
976,40.0,115000,3,16,1,9975,7.49,0.09,0,14,9975
45555,40.0,114000,3,2,5,9975,11.49,0.09,0,16,9975
31656,40.0,106000,0,19,1,9600,9.99,0.09,0,14,9600
27380,40.0,45760,0,2,4,9125,11.11,0.2,0,11,9125
4597,40.0,75000,0,2,5,9000,5.79,0.12,0,14,9000
11285,40.0,118000,0,1,5,9000,14.11,0.07,0,14,9000
14687,40.0,92700,3,1,1,9000,9.63,0.1,0,11,9000
18137,40.0,65000,0,5,3,9000,10.99,0.14,0,13,9000
37552,40.0,170000,0,18,2,9000,9.45,0.05,0,11,9000
40157,40.0,45000,3,0,2,9000,12.61,0.19,1,13,9000
41582,40.0,110000,0,3,4,9000,13.72,0.08,1,15,9000
49291,40.0,68000,0,4,1,8700,15.58,0.12,1,16,8700
3974,40.0,28800,2,0,5,8000,10.38,0.28,0,17,8000
4579,40.0,62000,0,3,2,8000,14.83,0.13,0,15,8000
5396,40.0,35000,2,2,4,8000,16.29,0.23,1,13,8000
6568,40.0,55000,0,2,5,8000,12.53,0.15,0,13,8000
6919,40.0,60000,3,1,2,8000,13.57,0.13,0,12,8000
13878,40.0,48000,3,15,0,8000,9.25,0.17,0,14,8000
18207,40.0,55000,0,5,4,8000,8.49,0.15,0,14,8000
19962,40.0,60000,3,6,4,8000,10.37,0.13,0,11,8000
28837,40.0,50000,0,5,3,8000,5.99,0.16,0,11,8000
29700,40.0,69996,3,1,3,8000,9.32,0.11,0,16,8000
31817,40.0,87000,3,2,1,8000,12.21,0.09,0,11,8000
40882,40.0,70000,2,11,2,8000,13.61,0.11,0,15,8000
43896,40.0,61500,3,3,3,8000,10.37,0.13,0,17,8000
44842,40.0,38400,3,2,4,8000,12.42,0.21,0,11,8000
45354,40.0,89440,2,8,2,8000,11.86,0.09,0,16,8000
45395,40.0,150000,0,3,2,8000,9.62,0.05,0,17,8000
46261,40.0,30000,3,0,3,8000,9.63,0.27,0,14,8000
48764,40.0,60000,3,5,4,8000,7.51,0.13,0,15,8000
49370,40.0,45000,3,3,3,8000,10.38,0.18,0,17,8000
53556,40.0,40000,3,2,5,8000,11.36,0.2,0,14,8000
54833,40.0,90000,0,12,5,8000,7.66,0.09,0,14,8000
55339,40.0,115600,0,4,2,8000,7.88,0.07,0,11,8000
55792,40.0,85000,0,18,5,8000,7.88,0.09,0,17,8000
15455,40.0,36000,3,5,3,7600,6.03,0.21,0,14,7600
3056,40.0,55000,3,2,1,7500,10.65,0.14,0,14,7500
5009,40.0,170004,3,18,1,7500,12.68,0.04,0,17,7500
6576,40.0,177600,0,11,1,7500,11.86,0.04,0,11,7500
18799,40.0,132000,3,3,2,7500,7.9,0.06,0,11,7500
26752,40.0,85000,0,7,3,7500,11.86,0.09,0,16,7500
35168,40.0,48000,3,3,3,7500,10.99,0.16,0,15,7500
39436,40.0,50000,3,5,2,7500,14.27,0.15,0,14,7500
35254,40.0,64000,3,2,3,7200,6.62,0.11,0,11,7200
3263,40.0,32400,0,12,5,7125,7.51,0.23,0,11,7125
57597,40.0,69930,0,8,4,7125,6.62,0.1,0,16,7125
1022,40.0,84000,3,5,2,7000,6.91,0.08,0,13,7000
4840,40.0,149000,0,25,2,7000,10.59,0.05,0,14,7000
12284,40.0,28800,3,1,5,7000,7.49,0.25,0,13,7000
14044,40.0,150000,0,1,3,7000,11.71,0.05,0,14,7000
18540,40.0,70000,0,1,1,7000,7.29,0.1,0,16,7000
21597,40.0,100000,3,1,2,7000,9.63,0.07,0,17,7000
29269,40.0,50000,0,5,2,7000,7.49,0.14,0,11,7000
32374,40.0,55000,0,5,5,7000,9.99,0.13,0,14,7000
32655,40.0,225000,0,3,1,7000,9.99,0.03,0,16,7000
34032,40.0,75000,0,17,1,7000,5.42,0.09,0,14,7000
35939,40.0,60000,0,7,2,7000,6.76,0.12,0,16,7000
39471,40.0,125000,0,5,3,7000,11.71,0.06,0,12,7000
42517,40.0,120000,0,3,3,7000,10.65,0.06,0,13,7000
42893,40.0,30000,2,5,1,7000,9.32,0.23,0,11,7000
44475,40.0,96000,0,0,4,7000,8.94,0.07,0,16,7000
47801,40.0,120000,0,12,2,7000,5.79,0.06,0,11,7000
49174,40.0,60000,0,5,5,7000,10.0,0.12,0,14,7000
50376,40.0,27600,2,4,4,7000,11.11,0.25,0,16,7000
54674,40.0,60000,0,2,0,7000,7.88,0.12,0,11,7000
56909,40.0,60000,3,0,4,7000,8.94,0.12,0,14,7000
25998,40.0,53000,3,6,4,6800,12.84,0.13,0,11,6800
8746,40.0,48000,0,10,5,6700,5.99,0.14,0,11,6700
1340,40.0,72000,0,16,5,6400,5.79,0.09,0,15,6400
10186,40.0,45600,0,6,1,6250,9.32,0.14,0,16,6250
338,40.0,120000,0,18,2,6000,6.03,0.05,0,14,6000
1830,40.0,63000,3,5,2,6000,7.74,0.09,0,17,6000
6656,40.0,60000,3,0,0,6000,10.65,0.1,0,14,6000
12803,40.0,54000,0,10,4,6000,7.14,0.11,0,12,6000
15259,40.0,102000,0,6,2,6000,9.99,0.06,0,16,6000
16510,40.0,30000,3,4,4,6000,7.49,0.2,0,14,6000
16566,40.0,102000,0,4,1,6000,7.51,0.06,0,11,6000
17674,40.0,120000,2,12,2,6000,8.88,0.05,0,14,6000
20017,40.0,120000,0,3,2,6000,7.14,0.05,0,14,6000
22674,40.0,95000,0,4,4,6000,12.99,0.06,1,16,6000
23108,40.0,110000,3,2,3,6000,8.94,0.05,0,13,6000
28036,40.0,61500,0,5,2,6000,11.48,0.1,0,13,6000
34107,40.0,60000,3,3,2,6000,10.99,0.1,0,16,6000
36954,40.0,50000,3,5,0,6000,14.27,0.12,0,17,6000
38807,40.0,90000,0,2,4,6000,10.62,0.07,0,16,6000
39691,40.0,92004,3,4,3,6000,10.37,0.07,0,16,6000
41264,40.0,69000,3,3,3,6000,10.0,0.09,0,11,6000
42103,40.0,72000,0,0,2,6000,5.42,0.08,0,11,6000
42428,40.0,55000,0,6,5,6000,11.99,0.11,0,14,6000
43108,40.0,90000,0,12,4,6000,11.11,0.07,0,11,6000
45674,40.0,37000,3,2,3,6000,5.99,0.16,0,16,6000
45734,40.0,140000,0,8,1,6000,9.64,0.04,0,13,6000
46978,40.0,75000,0,7,3,6000,11.12,0.08,0,16,6000
48935,40.0,142000,3,2,0,6000,10.38,0.04,0,17,6000
50242,40.0,89796,0,2,5,6000,6.62,0.07,0,17,6000
53178,40.0,60000,3,2,4,6000,8.94,0.1,0,12,6000
55039,40.0,50000,3,3,4,6000,6.76,0.12,0,12,6000
57339,40.0,39500,3,1,0,5600,7.9,0.14,0,15,5600
11895,40.0,59484,0,13,5,5500,10.99,0.09,0,10,5500
25607,40.0,64000,0,8,3,5500,10.62,0.08,0,14,5500
55429,40.0,54000,3,2,1,5500,8.59,0.1,0,11,5500
51028,40.0,25000,3,2,4,5475,6.62,0.22,0,14,5475
24320,40.0,150000,0,4,3,5200,12.69,0.03,0,11,5200
802,40.0,37000,3,2,5,5000,9.99,0.14,0,11,5000
1260,40.0,300000,3,6,0,5000,10.37,0.02,0,11,5000
2392,40.0,154000,0,18,4,5000,16.45,0.03,1,11,5000
5141,40.0,70000,0,2,1,5000,7.88,0.07,0,16,5000
5269,40.0,60000,3,5,1,5000,7.9,0.08,0,13,5000
5875,40.0,30000,0,1,0,5000,7.14,0.17,0,13,5000
9664,40.0,80000,0,3,5,5000,5.42,0.06,0,14,5000
10743,40.0,48000,0,3,2,5000,14.27,0.1,1,15,5000
12729,40.0,32004,3,2,5,5000,9.32,0.16,0,14,5000
13332,40.0,48000,0,5,0,5000,7.51,0.1,0,16,5000
14718,40.0,75000,3,6,1,5000,11.49,0.07,0,12,5000
15422,40.0,95000,3,2,3,5000,14.79,0.05,1,14,5000
17971,40.0,90000,3,1,0,5000,13.57,0.06,1,15,5000
18437,40.0,50000,3,4,0,5000,10.37,0.1,0,14,5000
18454,40.0,45000,3,6,5,5000,14.79,0.11,1,14,5000
18905,40.0,35000,3,2,3,5000,13.22,0.14,0,15,5000
18910,40.0,130000,0,8,5,5000,13.16,0.04,1,13,5000
20188,40.0,80000,3,6,4,5000,12.87,0.06,0,13,5000
21943,40.0,36000,3,2,3,5000,10.37,0.14,0,16,5000
23580,40.0,60000,3,5,1,5000,11.86,0.08,0,12,5000
25455,40.0,70000,0,0,3,5000,11.78,0.07,1,11,5000
26113,40.0,25000,2,2,4,5000,9.62,0.2,0,15,5000
28873,40.0,36000,3,0,3,5000,13.22,0.14,0,16,5000
33354,40.0,60000,2,18,4,5000,13.85,0.08,1,15,5000
38691,40.0,54000,3,0,3,5000,5.42,0.09,0,13,5000
39336,40.0,110000,0,1,1,5000,9.63,0.05,0,11,5000
44025,40.0,50000,0,4,2,5000,7.14,0.1,0,17,5000
45565,40.0,45000,0,3,4,5000,6.99,0.11,0,15,5000
45805,40.0,54000,0,20,4,5000,7.14,0.09,0,17,5000
46029,40.0,100000,3,0,3,5000,7.75,0.05,0,17,5000
48497,40.0,55236,3,17,2,5000,15.05,0.09,1,14,5000
50219,40.0,42000,3,2,3,5000,5.79,0.12,0,15,5000
51377,40.0,36000,3,2,3,5000,9.63,0.14,0,16,5000
55276,40.0,36000,3,2,1,5000,9.99,0.14,0,17,5000
56636,40.0,60000,0,1,4,5000,11.14,0.08,0,17,5000
57508,40.0,31200,0,4,2,5000,10.65,0.16,0,11,5000
8909,40.0,54096,3,3,5,4900,10.96,0.09,0,14,4900
4671,40.0,65004,3,0,3,4800,11.28,0.08,1,11,4800
6549,40.0,69600,2,12,5,4800,7.29,0.07,0,16,4800
11609,40.0,30000,2,3,2,4800,7.29,0.16,0,13,4800
53479,40.0,105000,0,11,3,4800,10.59,0.05,0,17,4800
53579,40.0,70000,3,12,5,4500,5.79,0.06,0,15,4500
15125,40.0,75000,0,2,1,4400,6.99,0.06,0,12,4400
147,40.0,63000,0,3,1,4000,6.92,0.06,0,13,4000
11289,40.0,30000,3,0,1,4000,11.83,0.13,0,12,4000
30322,40.0,42000,3,0,1,4000,14.65,0.1,0,16,4000
32255,40.0,50000,3,2,4,4000,13.47,0.08,1,17,4000
35764,40.0,54000,0,2,4,4000,12.42,0.07,0,12,4000
37010,40.0,65000,0,2,1,4000,10.99,0.06,0,11,4000
54204,40.0,50000,3,1,0,4000,14.27,0.08,1,17,4000
56231,40.0,36000,3,2,1,4000,14.26,0.11,1,12,4000
2199,40.0,60000,3,2,1,3600,7.66,0.06,0,12,3600
41931,40.0,60000,3,3,1,3600,16.89,0.06,0,17,3600
50317,40.0,20000,3,4,5,3600,13.11,0.17,1,11,3600
19233,40.0,55182,3,0,5,3500,6.99,0.06,0,12,3500
21744,40.0,35000,3,1,3,3500,14.27,0.1,1,16,3500
26134,40.0,68000,0,4,2,3500,5.42,0.05,0,14,3500
33350,40.0,48000,0,18,5,3500,11.99,0.07,0,14,3500
52416,40.0,74400,0,0,3,3500,7.29,0.05,0,14,3500
17120,40.0,35820,3,0,4,3275,8.88,0.09,0,6,3275
50013,40.0,50000,0,3,2,3250,10.37,0.07,0,17,3250
12161,40.0,65000,0,1,2,3100,7.29,0.05,0,16,3100
11193,40.0,50000,0,0,2,3000,6.03,0.06,0,17,3000
16699,40.0,27600,2,16,5,3000,14.27,0.11,0,17,3000
25122,40.0,60000,0,7,3,3000,7.74,0.05,0,13,3000
27015,40.0,48000,3,15,4,3000,11.78,0.06,1,17,3000
31940,40.0,77500,3,3,1,3000,14.72,0.04,1,16,3000
32913,40.0,50000,0,6,2,3000,5.42,0.06,0,11,3000
33919,40.0,50000,3,3,3,3000,12.53,0.06,0,16,3000
35238,40.0,50000,3,1,3,3000,9.99,0.06,0,15,3000
37126,40.0,60000,0,12,2,3000,10.0,0.05,0,14,3000
37229,40.0,60000,0,0,2,3000,7.68,0.05,0,15,3000
37636,40.0,43000,3,1,3,3000,9.99,0.07,0,15,3000
44849,40.0,90000,0,4,0,3000,12.53,0.03,0,17,3000
49183,40.0,19200,3,4,0,3000,12.99,0.16,1,15,3000
50262,40.0,38000,0,2,3,3000,6.39,0.08,0,14,3000
55430,40.0,50000,0,2,2,3000,7.29,0.06,0,13,3000
5415,40.0,28800,3,2,4,2800,7.88,0.1,0,14,2800
1101,40.0,60000,3,2,5,2500,11.49,0.04,0,14,2500
4849,40.0,25000,3,2,4,2500,11.71,0.1,0,13,2500
19900,40.0,42000,0,18,5,2500,9.99,0.06,0,14,2500
20736,40.0,60000,0,5,4,2500,7.49,0.04,0,11,2500
51764,40.0,60000,3,2,3,2500,11.48,0.04,0,13,2500
48215,40.0,16800,3,0,5,2450,8.94,0.15,0,14,2450
3964,40.0,62496,3,0,1,2400,12.53,0.04,1,14,2400
20563,40.0,49500,3,0,4,2400,14.27,0.05,1,13,2400
4710,40.0,30000,3,4,3,2000,7.9,0.07,0,13,2000
5315,40.0,34800,3,6,3,2000,9.99,0.06,0,16,2000
13026,40.0,50000,0,5,2,2000,8.49,0.04,0,11,2000
17184,40.0,42000,3,2,4,2000,12.99,0.05,1,14,2000
20102,40.0,14400,3,0,5,2000,10.37,0.14,0,11,2000
20141,40.0,62400,3,4,3,2000,13.8,0.03,1,16,2000
31947,40.0,77000,0,2,4,2000,10.75,0.03,0,12,2000
32964,40.0,42000,2,21,3,2000,11.36,0.05,0,15,2000
34007,40.0,350000,2,16,4,2000,11.49,0.06,0,13,2000
47853,40.0,60000,3,1,1,2000,11.49,0.03,0,14,2000
50898,40.0,24449,2,2,1,2000,12.84,0.08,1,12,2000
3746,40.0,75000,3,2,2,1800,11.12,0.02,0,17,1800
7775,40.0,48000,0,0,0,1500,7.68,0.03,0,17,1500
10229,40.0,18700,3,2,3,1500,12.87,0.08,1,15,1500
28307,40.0,36900,3,0,1,1500,10.65,0.04,0,13,1500
32699,40.0,45000,0,2,1,1500,7.4,0.03,0,14,1500
49540,40.0,77367,0,11,1,1500,6.17,0.02,0,17,1500
52650,40.0,50000,3,0,0,1500,11.71,0.03,0,16,1500
53964,40.0,14400,3,3,5,1500,7.29,0.1,0,14,1500
17023,40.0,42000,2,8,3,1200,7.29,0.03,0,14,1200
20799,40.0,29000,3,0,1,1000,8.0,0.03,0,12,1000
40933,40.0,38000,3,1,1,1000,10.95,0.03,0,11,1000
49779,40.0,68000,0,5,1,1000,8.0,0.01,0,13,1000
55134,40.0,85000,0,18,5,1000,10.36,0.01,0,17,1000
57118,40.0,28800,3,2,4,1000,10.65,0.03,0,14,1000
39716,25.0,4200,3,5,3,5000,6.76,0.12,0,4,232
44525,21.0,12600,0,1,1,12000,5.99,0.1,0,2,1207
33686,21.0,12000,2,0,5,8800,17.39,0.07,0,2,3780
42581,24.0,5000,3,0,1,1000,13.06,0.2,1,4,4992
17223,28.0,10000,2,12,5,8000,7.51,0.08,0,9,5975
33850,22.0,9600,3,4,1,3500,12.18,0.36,0,2,7047
5046,21.0,12000,2,0,3,5000,13.06,0.41,1,4,7585
10435,21.0,9600,3,1,4,1000,12.68,0.1,0,2,9073
32894,22.0,9600,3,1,1,1200,14.72,0.13,0,3,9352
54771,22.0,9600,3,2,5,1000,8.0,0.1,0,4,9553
11173,21.0,12000,3,0,5,3000,10.39,0.25,0,2,9588
20901,22.0,14400,2,0,4,6000,9.63,0.04,0,4,9823
42078,21.0,12000,2,0,5,2000,11.14,0.17,0,4,10591
12514,25.0,9600,3,1,0,1200,11.14,0.13,0,2,10791
30312,28.0,12000,2,2,4,5825,7.49,0.51,0,7,10954
31409,25.0,9600,3,0,3,1000,14.35,0.1,0,2,10992
28381,22.0,12000,3,0,1,1775,12.72,0.14,0,4,11416
52470,22.0,24960,2,6,1,16000,10.99,0.07,0,4,11428
31716,23.0,12000,2,0,5,2000,10.74,0.17,0,2,11790
18392,21.0,21600,2,2,3,10750,13.85,0.51,0,3,11908
53910,22.0,12360,2,1,3,1600,13.16,0.13,0,4,11987
34543,27.0,12000,3,3,3,4000,7.9,0.3,0,10,12183
33362,28.0,9600,0,2,0,1200,7.88,0.13,0,7,12230
56858,25.0,15500,3,3,0,7000,14.22,0.05,1,3,12354
54527,22.0,25000,0,0,1,15000,13.67,0.06,0,4,12473
44289,24.0,12000,3,0,3,1800,12.84,0.14,0,4,12590
9180,21.0,14400,3,0,0,2500,10.37,0.18,0,3,12610
7453,29.0,12000,2,5,4,4750,12.73,0.4,0,6,12630
31540,22.0,13200,3,0,5,1875,11.14,0.14,0,2,12635
40831,24.0,12000,3,0,4,1600,13.11,0.15,0,2,12790
8062,23.0,12000,3,0,1,1000,12.68,0.08,1,2,12793
