id,age,income,home_ownership,emplyment_length,loan_intent,loan_amount,loan_interest_rate,loan_income_ratio,payment_default_on_file,credit_history_length,loan_approval_status
24616,40.0,53000,3,7,4,12000,16.77,0.23,0,16,0
25436,40.0,150000,0,5,5,12000,7.29,0.08,0,17,0
28875,40.0,60000,3,6,4,12000,13.49,0.2,0,16,0
29748,40.0,54000,3,4,0,12000,11.36,0.22,0,17,0
30387,40.0,180000,3,2,0,12000,7.51,0.07,0,13,0
33200,40.0,75000,0,7,4,12000,7.88,0.17,0,13,0
33475,40.0,55000,3,3,1,12000,14.27,0.22,0,15,0
34724,40.0,110000,0,0,3,12000,10.37,0.11,0,15,0
36271,40.0,50000,0,6,0,12000,10.37,0.24,0,14,0
43211,40.0,130000,0,3,4,12000,9.91,0.09,0,15,0
47830,40.0,75000,0,3,3,12000,7.51,0.16,0,13,0
48808,40.0,90000,0,11,1,12000,10.0,0.13,0,11,0
50469,40.0,100000,0,0,2,12000,8.59,0.12,0,15,0
50929,40.0,72000,3,3,4,12000,14.27,0.17,1,15,0
52413,40.0,38000,2,10,5,12000,5.42,0.32,0,16,0
56306,40.0,85000,2,16,5,12000,7.51,0.14,0,14,0
56882,40.0,123735,0,8,4,12000,7.88,0.1,0,12,0
57948,40.0,110000,3,1,5,12000,6.99,0.11,0,15,0
20953,40.0,130000,0,6,3,11800,11.14,0.09,0,13,0
7237,40.0,65000,3,6,3,11500,12.87,0.18,1,17,0
36759,40.0,40000,3,0,4,11500,14.26,0.28,0,12,0
18322,40.0,95000,0,3,2,11200,14.27,0.12,0,16,0
31460,40.0,50000,0,5,5,11000,5.99,0.22,0,14,0
41438,40.0,130000,0,1,4,11000,10.99,0.08,0,12,0
6230,40.0,125000,3,3,5,10200,8.49,0.08,0,17,0
39124,40.0,74000,3,7,3,10200,12.53,0.14,0,17,0
1533,40.0,57600,3,1,4,10000,13.61,0.17,0,11,0
4512,40.0,60000,0,12,0,10000,7.14,0.17,0,14,0
4690,40.0,50000,0,2,1,10000,15.28,0.2,1,17,0
5406,40.0,120000,0,2,2,10000,10.37,0.08,0,12,0
6046,40.0,90000,3,1,3,10000,11.86,0.11,0,12,0
9058,40.0,35640,0,2,3,10000,7.88,0.28,0,11,0
11669,40.0,150000,0,8,3,10000,7.29,0.07,0,12,0
12333,40.0,82000,2,10,1,10000,9.99,0.12,0,11,0
12800,40.0,63000,0,0,3,10000,10.74,0.16,0,14,0
14425,40.0,102000,0,2,3,10000,9.63,0.1,0,14,0
15656,40.0,36000,0,3,4,10000,5.99,0.28,0,17,0
16192,40.0,175500,0,2,2,10000,12.18,0.06,0,15,0
19998,40.0,125000,3,3,1,10000,14.27,0.08,0,15,0
20391,40.0,42000,3,4,5,10000,7.9,0.24,0,15,0
21477,40.0,85000,0,18,3,10000,9.99,0.12,0,12,0
21586,40.0,98000,0,5,5,10000,11.48,0.1,0,11,0
21620,40.0,60000,0,12,5,10000,10.36,0.17,0,16,0
21809,40.0,75996,0,15,3,10000,6.91,0.13,0,16,0
24574,40.0,200000,0,2,0,10000,7.9,0.05,0,14,0
24588,40.0,40000,0,4,3,10000,5.99,0.25,0,16,0
24910,40.0,75000,0,0,1,10000,10.95,0.13,0,14,0
27382,40.0,60000,3,5,3,10000,10.59,0.17,0,17,0
28950,40.0,44000,3,4,5,10000,6.62,0.23,0,17,0
29040,40.0,50000,3,5,5,10000,6.62,0.2,0,16,0
31023,40.0,70000,3,2,1,10000,10.65,0.14,0,12,0
33472,40.0,38004,3,4,3,10000,9.63,0.26,0,13,0
35957,40.0,120000,0,2,3,10000,11.99,0.08,0,11,0
36504,40.0,60000,3,2,5,10000,13.43,0.17,1,14,0
37578,40.0,100000,2,16,3,10000,7.49,0.1,0,17,0
37688,40.0,60000,0,4,2,10000,7.88,0.17,0,16,0
39837,40.0,112500,0,2,2,10000,10.25,0.09,0,12,0
42555,40.0,108288,0,13,0,10000,10.37,0.09,0,14,0
42797,40.0,39000,0,6,2,10000,11.48,0.26,0,15,0
52293,40.0,150000,0,5,1,10000,7.9,0.07,0,13,0
52478,40.0,60000,3,5,2,10000,13.43,0.17,0,17,0
52699,40.0,80000,0,3,2,10000,11.49,0.13,0,17,0
55136,40.0,67000,3,13,0,10000,10.74,0.15,0,14,0
56908,40.0,50000,3,3,2,10000,6.62,0.2,0,15,0
57064,40.0,70000,0,2,1,10000,14.27,0.14,1,12,0
976,40.0,115000,3,16,1,9975,7.49,0.09,0,14,0
45555,40.0,114000,3,2,5,9975,11.49,0.09,0,16,0
31656,40.0,106000,0,19,1,9600,9.99,0.09,0,14,0
27380,40.0,45760,0,2,4,9125,11.11,0.2,0,11,0
4597,40.0,75000,0,2,5,9000,5.79,0.12,0,14,0
11285,40.0,118000,0,1,5,9000,14.11,0.07,0,14,0
14687,40.0,92700,3,1,1,9000,9.63,0.1,0,11,0
18137,40.0,65000,0,5,3,9000,10.99,0.14,0,13,0
37552,40.0,170000,0,18,2,9000,9.45,0.05,0,11,0
40157,40.0,45000,3,0,2,9000,12.61,0.19,1,13,0
41582,40.0,110000,0,3,4,9000,13.72,0.08,1,15,0
49291,40.0,68000,0,4,1,8700,15.58,0.12,1,16,0
3974,40.0,28800,2,0,5,8000,10.38,0.28,0,17,0
4579,40.0,62000,0,3,2,8000,14.83,0.13,0,15,0
5396,40.0,35000,2,2,4,8000,16.29,0.23,1,13,0
6568,40.0,55000,0,2,5,8000,12.53,0.15,0,13,0
6919,40.0,60000,3,1,2,8000,13.57,0.13,0,12,0
13878,40.0,48000,3,15,0,8000,9.25,0.17,0,14,0
18207,40.0,55000,0,5,4,8000,8.49,0.15,0,14,0
19962,40.0,60000,3,6,4,8000,10.37,0.13,0,11,0
28837,40.0,50000,0,5,3,8000,5.99,0.16,0,11,0
29700,40.0,69996,3,1,3,8000,9.32,0.11,0,16,0
31817,40.0,87000,3,2,1,8000,12.21,0.09,0,11,0
40882,40.0,70000,2,11,2,8000,13.61,0.11,0,15,0
43896,40.0,61500,3,3,3,8000,10.37,0.13,0,17,0
44842,40.0,38400,3,2,4,8000,12.42,0.21,0,11,0
45354,40.0,89440,2,8,2,8000,11.86,0.09,0,16,0
45395,40.0,150000,0,3,2,8000,9.62,0.05,0,17,0
46261,40.0,30000,3,0,3,8000,9.63,0.27,0,14,0
48764,40.0,60000,3,5,4,8000,7.51,0.13,0,15,0
49370,40.0,45000,3,3,3,8000,10.38,0.18,0,17,0
53556,40.0,40000,3,2,5,8000,11.36,0.2,0,14,0
54833,40.0,90000,0,12,5,8000,7.66,0.09,0,14,0
55339,40.0,115600,0,4,2,8000,7.88,0.07,0,11,0
55792,40.0,85000,0,18,5,8000,7.88,0.09,0,17,0
15455,40.0,36000,3,5,3,7600,6.03,0.21,0,14,0
3056,40.0,55000,3,2,1,7500,10.65,0.14,0,14,0
5009,40.0,170004,3,18,1,7500,12.68,0.04,0,17,0
6576,40.0,177600,0,11,1,7500,11.86,0.04,0,11,0
18799,40.0,132000,3,3,2,7500,7.9,0.06,0,11,0
26752,40.0,85000,0,7,3,7500,11.86,0.09,0,16,0
35168,40.0,48000,3,3,3,7500,10.99,0.16,0,15,0
39436,40.0,50000,3,5,2,7500,14.27,0.15,0,14,0
35254,40.0,64000,3,2,3,7200,6.62,0.11,0,11,0
3263,40.0,32400,0,12,5,7125,7.51,0.23,0,11,0
57597,40.0,69930,0,8,4,7125,6.62,0.1,0,16,0
1022,40.0,84000,3,5,2,7000,6.91,0.08,0,13,0
4840,40.0,149000,0,25,2,7000,10.59,0.05,0,14,0
12284,40.0,28800,3,1,5,7000,7.49,0.25,0,13,0
14044,40.0,150000,0,1,3,7000,11.71,0.05,0,14,0
18540,40.0,70000,0,1,1,7000,7.29,0.1,0,16,0
21597,40.0,100000,3,1,2,7000,9.63,0.07,0,17,0
29269,40.0,50000,0,5,2,7000,7.49,0.14,0,11,0
32374,40.0,55000,0,5,5,7000,9.99,0.13,0,14,0
32655,40.0,225000,0,3,1,7000,9.99,0.03,0,16,0
34032,40.0,75000,0,17,1,7000,5.42,0.09,0,14,0
35939,40.0,60000,0,7,2,7000,6.76,0.12,0,16,0
39471,40.0,125000,0,5,3,7000,11.71,0.06,0,12,0
42517,40.0,120000,0,3,3,7000,10.65,0.06,0,13,0
42893,40.0,30000,2,5,1,7000,9.32,0.23,0,11,0
44475,40.0,96000,0,0,4,7000,8.94,0.07,0,16,0
47801,40.0,120000,0,12,2,7000,5.79,0.06,0,11,0
49174,40.0,60000,0,5,5,7000,10.0,0.12,0,14,0
50376,40.0,27600,2,4,4,7000,11.11,0.25,0,16,0
54674,40.0,60000,0,2,0,7000,7.88,0.12,0,11,0
56909,40.0,60000,3,0,4,7000,8.94,0.12,0,14,0
25998,40.0,53000,3,6,4,6800,12.84,0.13,0,11,0
8746,40.0,48000,0,10,5,6700,5.99,0.14,0,11,0
1340,40.0,72000,0,16,5,6400,5.79,0.09,0,15,0
10186,40.0,45600,0,6,1,6250,9.32,0.14,0,16,0
338,40.0,120000,0,18,2,6000,6.03,0.05,0,14,0
1830,40.0,63000,3,5,2,6000,7.74,0.09,0,17,0
6656,40.0,60000,3,0,0,6000,10.65,0.1,0,14,0
12803,40.0,54000,0,10,4,6000,7.14,0.11,0,12,0
15259,40.0,102000,0,6,2,6000,9.99,0.06,0,16,0
16510,40.0,30000,3,4,4,6000,7.49,0.2,0,14,0
16566,40.0,102000,0,4,1,6000,7.51,0.06,0,11,0
17674,40.0,120000,2,12,2,6000,8.88,0.05,0,14,0
20017,40.0,120000,0,3,2,6000,7.14,0.05,0,14,0
22674,40.0,95000,0,4,4,6000,12.99,0.06,1,16,0
23108,40.0,110000,3,2,3,6000,8.94,0.05,0,13,0
28036,40.0,61500,0,5,2,6000,11.48,0.1,0,13,0
34107,40.0,60000,3,3,2,6000,10.99,0.1,0,16,0
36954,40.0,50000,3,5,0,6000,14.27,0.12,0,17,0
38807,40.0,90000,0,2,4,6000,10.62,0.07,0,16,0
39691,40.0,92004,3,4,3,6000,10.37,0.07,0,16,0
41264,40.0,69000,3,3,3,6000,10.0,0.09,0,11,0
42103,40.0,72000,0,0,2,6000,5.42,0.08,0,11,0
42428,40.0,55000,0,6,5,6000,11.99,0.11,0,14,0
43108,40.0,90000,0,12,4,6000,11.11,0.07,0,11,0
45674,40.0,37000,3,2,3,6000,5.99,0.16,0,16,0
45734,40.0,140000,0,8,1,6000,9.64,0.04,0,13,0
46978,40.0,75000,0,7,3,6000,11.12,0.08,0,16,0
48935,40.0,142000,3,2,0,6000,10.38,0.04,0,17,0
50242,40.0,89796,0,2,5,6000,6.62,0.07,0,17,0
53178,40.0,60000,3,2,4,6000,8.94,0.1,0,12,0
55039,40.0,50000,3,3,4,6000,6.76,0.12,0,12,0
57339,40.0,39500,3,1,0,5600,7.9,0.14,0,15,0
11895,40.0,59484,0,13,5,5500,10.99,0.09,0,10,0
25607,40.0,64000,0,8,3,5500,10.62,0.08,0,14,0
55429,40.0,54000,3,2,1,5500,8.59,0.1,0,11,0
51028,40.0,25000,3,2,4,5475,6.62,0.22,0,14,0
24320,40.0,150000,0,4,3,5200,12.69,0.03,0,11,0
802,40.0,37000,3,2,5,5000,9.99,0.14,0,11,0
1260,40.0,300000,3,6,0,5000,10.37,0.02,0,11,0
2392,40.0,154000,0,18,4,5000,16.45,0.03,1,11,0
5141,40.0,70000,0,2,1,5000,7.88,0.07,0,16,0
5269,40.0,60000,3,5,1,5000,7.9,0.08,0,13,0
5875,40.0,30000,0,1,0,5000,7.14,0.17,0,13,0
9664,40.0,80000,0,3,5,5000,5.42,0.06,0,14,0
10743,40.0,48000,0,3,2,5000,14.27,0.1,1,15,0
12729,40.0,32004,3,2,5,5000,9.32,0.16,0,14,0
13332,40.0,48000,0,5,0,5000,7.51,0.1,0,16,0
14718,40.0,75000,3,6,1,5000,11.49,0.07,0,12,0
15422,40.0,95000,3,2,3,5000,14.79,0.05,1,14,0
17971,40.0,90000,3,1,0,5000,13.57,0.06,1,15,0
18437,40.0,50000,3,4,0,5000,10.37,0.1,0,14,0
18454,40.0,45000,3,6,5,5000,14.79,0.11,1,14,0
18905,40.0,35000,3,2,3,5000,13.22,0.14,0,15,0
18910,40.0,130000,0,8,5,5000,13.16,0.04,1,13,0
20188,40.0,80000,3,6,4,5000,12.87,0.06,0,13,0
21943,40.0,36000,3,2,3,5000,10.37,0.14,0,16,0
23580,40.0,60000,3,5,1,5000,11.86,0.08,0,12,0
25455,40.0,70000,0,0,3,5000,11.78,0.07,1,11,0
26113,40.0,25000,2,2,4,5000,9.62,0.2,0,15,0
28873,40.0,36000,3,0,3,5000,13.22,0.14,0,16,0
33354,40.0,60000,2,18,4,5000,13.85,0.08,1,15,0
38691,40.0,54000,3,0,3,5000,5.42,0.09,0,13,0
39336,40.0,110000,0,1,1,5000,9.63,0.05,0,11,0
44025,40.0,50000,0,4,2,5000,7.14,0.1,0,17,0
45565,40.0,45000,0,3,4,5000,6.99,0.11,0,15,0
45805,40.0,54000,0,20,4,5000,7.14,0.09,0,17,0
46029,40.0,100000,3,0,3,5000,7.75,0.05,0,17,0
48497,40.0,55236,3,17,2,5000,15.05,0.09,1,14,0
50219,40.0,42000,3,2,3,5000,5.79,0.12,0,15,0
51377,40.0,36000,3,2,3,5000,9.63,0.14,0,16,0
55276,40.0,36000,3,2,1,5000,9.99,0.14,0,17,0
56636,40.0,60000,0,1,4,5000,11.14,0.08,0,17,0
57508,40.0,31200,0,4,2,5000,10.65,0.16,0,11,0
8909,40.0,54096,3,3,5,4900,10.96,0.09,0,14,0
4671,40.0,65004,3,0,3,4800,11.28,0.08,1,11,0
6549,40.0,69600,2,12,5,4800,7.29,0.07,0,16,0
11609,40.0,30000,2,3,2,4800,7.29,0.16,0,13,0
53479,40.0,105000,0,11,3,4800,10.59,0.05,0,17,0
53579,40.0,70000,3,12,5,4500,5.79,0.06,0,15,0
15125,40.0,75000,0,2,1,4400,6.99,0.06,0,12,0
147,40.0,63000,0,3,1,4000,6.92,0.06,0,13,0
11289,40.0,30000,3,0,1,4000,11.83,0.13,0,12,0
30322,40.0,42000,3,0,1,4000,14.65,0.1,0,16,0
32255,40.0,50000,3,2,4,4000,13.47,0.08,1,17,0
35764,40.0,54000,0,2,4,4000,12.42,0.07,0,12,0
37010,40.0,65000,0,2,1,4000,10.99,0.06,0,11,0
54204,40.0,50000,3,1,0,4000,14.27,0.08,1,17,0
56231,40.0,36000,3,2,1,4000,14.26,0.11,1,12,0
2199,40.0,60000,3,2,1,3600,7.66,0.06,0,12,0
41931,40.0,60000,3,3,1,3600,16.89,0.06,0,17,0
50317,40.0,20000,3,4,5,3600,13.11,0.17,1,11,0
19233,40.0,55182,3,0,5,3500,6.99,0.06,0,12,0
21744,40.0,35000,3,1,3,3500,14.27,0.1,1,16,0
26134,40.0,68000,0,4,2,3500,5.42,0.05,0,14,0
33350,40.0,48000,0,18,5,3500,11.99,0.07,0,14,0
52416,40.0,74400,0,0,3,3500,7.29,0.05,0,14,0
17120,40.0,35820,3,0,4,3275,8.88,0.09,0,6,0
50013,40.0,50000,0,3,2,3250,10.37,0.07,0,17,0
12161,40.0,65000,0,1,2,3100,7.29,0.05,0,16,0
11193,40.0,50000,0,0,2,3000,6.03,0.06,0,17,0
16699,40.0,27600,2,16,5,3000,14.27,0.11,0,17,0
25122,40.0,60000,0,7,3,3000,7.74,0.05,0,13,0
27015,40.0,48000,3,15,4,3000,11.78,0.06,1,17,0
31940,40.0,77500,3,3,1,3000,14.72,0.04,1,16,0
32913,40.0,50000,0,6,2,3000,5.42,0.06,0,11,0
33919,40.0,50000,3,3,3,3000,12.53,0.06,0,16,0
35238,40.0,50000,3,1,3,3000,9.99,0.06,0,15,0
37126,40.0,60000,0,12,2,3000,10.0,0.05,0,14,0
37229,40.0,60000,0,0,2,3000,7.68,0.05,0,15,0
37636,40.0,43000,3,1,3,3000,9.99,0.07,0,15,0
44849,40.0,90000,0,4,0,3000,12.53,0.03,0,17,0
49183,40.0,19200,3,4,0,3000,12.99,0.16,1,15,0
50262,40.0,38000,0,2,3,3000,6.39,0.08,0,14,0
55430,40.0,50000,0,2,2,3000,7.29,0.06,0,13,0
5415,40.0,28800,3,2,4,2800,7.88,0.1,0,14,0
1101,40.0,60000,3,2,5,2500,11.49,0.04,0,14,0
4849,40.0,25000,3,2,4,2500,11.71,0.1,0,13,0
19900,40.0,42000,0,18,5,2500,9.99,0.06,0,14,0
20736,40.0,60000,0,5,4,2500,7.49,0.04,0,11,0
51764,40.0,60000,3,2,3,2500,11.48,0.04,0,13,0
48215,40.0,16800,3,0,5,2450,8.94,0.15,0,14,0
3964,40.0,62496,3,0,1,2400,12.53,0.04,1,14,0
20563,40.0,49500,3,0,4,2400,14.27,0.05,1,13,0
4710,40.0,30000,3,4,3,2000,7.9,0.07,0,13,0
5315,40.0,34800,3,6,3,2000,9.99,0.06,0,16,0
13026,40.0,50000,0,5,2,2000,8.49,0.04,0,11,0
17184,40.0,42000,3,2,4,2000,12.99,0.05,1,14,0
20102,40.0,14400,3,0,5,2000,10.37,0.14,0,11,0
20141,40.0,62400,3,4,3,2000,13.8,0.03,1,16,0
31947,40.0,77000,0,2,4,2000,10.75,0.03,0,12,0
32964,40.0,42000,2,21,3,2000,11.36,0.05,0,15,0
34007,40.0,350000,2,16,4,2000,11.49,0.06,0,13,0
47853,40.0,60000,3,1,1,2000,11.49,0.03,0,14,0
50898,40.0,24449,2,2,1,2000,12.84,0.08,1,12,0
3746,40.0,75000,3,2,2,1800,11.12,0.02,0,17,0
7775,40.0,48000,0,0,0,1500,7.68,0.03,0,17,0
10229,40.0,18700,3,2,3,1500,12.87,0.08,1,15,0
28307,40.0,36900,3,0,1,1500,10.65,0.04,0,13,0
32699,40.0,45000,0,2,1,1500,7.4,0.03,0,14,0
49540,40.0,77367,0,11,1,1500,6.17,0.02,0,17,0
52650,40.0,50000,3,0,0,1500,11.71,0.03,0,16,0
53964,40.0,14400,3,3,5,1500,7.29,0.1,0,14,0
17023,40.0,42000,2,8,3,1200,7.29,0.03,0,14,0
20799,40.0,29000,3,0,1,1000,8.0,0.03,0,12,0
40933,40.0,38000,3,1,1,1000,10.95,0.03,0,11,0
49779,40.0,68000,0,5,1,1000,8.0,0.01,0,13,0
55134,40.0,85000,0,18,5,1000,10.36,0.01,0,17,0
57118,40.0,28800,3,2,4,1000,10.65,0.03,0,14,0
9688,20.0,127000,0,2,0,24250,15.31,0.19,0,4,1
11976,20.0,95950,3,2,1,28250,14.54,0.27,0,4,1
22043,20.0,59000,3,1,4,16800,12.42,0.29,0,2,1
114,21.0,30000,3,5,2,6500,14.27,0.22,0,4,1
126,21.0,31000,3,5,1,10000,11.49,0.32,0,2,1
508,21.0,30000,3,0,0,8500,19.04,0.27,1,2,1
991,21.0,37000,3,2,3,14000,12.61,0.38,0,3,1
1317,21.0,30000,0,2,3,5000,15.7,0.17,0,3,1
1389,21.0,15600,3,0,0,5000,10.99,0.32,0,3,1
1611,21.0,33996,3,5,3,15000,14.96,0.44,2,2,1
1950,21.0,28000,0,5,0,6000,15.62,0.21,1,2,1
2133,21.0,36588,3,5,0,1000,14.61,0.03,1,4,1
2152,21.0,34800,3,0,5,9600,17.27,0.28,1,3,1
2331,21.0,44000,3,4,0,12000,12.86,0.27,0,4,1
2447,21.0,29000,3,2,4,6000,15.62,0.21,0,2,1
2451,21.0,90000,3,5,2,7200,12.69,0.08,0,2,1
2511,21.0,30000,3,5,1,13250,11.49,0.44,0,2,1
2537,21.0,34000,0,3,2,12000,13.79,0.36,0,2,1
2995,21.0,24000,2,0,2,6100,13.35,0.26,1,2,1
3036,21.0,52000,3,2,4,18500,15.33,0.36,0,4,1
3067,21.0,38004,3,5,1,3000,10.75,0.08,0,2,1
3331,21.0,34000,0,5,2,6000,12.69,0.18,0,2,1
3460,21.0,59000,3,5,2,6000,11.89,0.1,0,2,1
3696,21.0,70553,3,5,5,10000,13.49,0.14,0,4,1
3707,21.0,30000,3,1,1,12000,12.53,0.4,1,4,1
3782,21.0,67000,3,5,3,25000,10.25,0.37,0,2,1
3879,21.0,35000,3,1,1,15000,11.83,0.43,0,2,1
4027,21.0,35400,3,3,1,13250,16.89,0.38,0,3,1
4154,21.0,34000,3,5,1,10000,11.71,0.29,0,4,1
4616,21.0,30000,3,0,3,1500,15.62,0.05,0,2,1
4806,21.0,88000,3,3,2,17600,16.35,0.19,0,2,1
5495,21.0,30000,3,3,4,6000,12.42,0.2,0,2,1
5857,21.0,32000,3,2,0,1000,16.45,0.03,0,4,1
5899,21.0,42000,0,4,5,5200,17.27,0.12,1,2,1
5914,21.0,36000,3,5,0,10400,14.84,0.3,1,2,1
6241,21.0,25200,3,0,4,9600,8.94,0.39,0,4,1
6865,21.0,49000,3,2,3,6000,15.31,0.12,1,4,1
7104,21.0,29004,3,0,4,5000,17.49,0.17,1,3,1
7110,21.0,24000,3,0,1,1000,14.72,0.04,1,2,1
7140,21.0,34000,3,2,4,7500,14.59,0.23,0,3,1
7412,21.0,70000,3,5,1,23000,14.54,0.34,1,4,1
7418,21.0,32000,3,6,0,15000,7.9,0.47,0,2,1
7650,21.0,36000,3,6,3,12000,7.88,0.33,0,3,1
7791,21.0,24996,3,0,0,5000,10.99,0.2,0,4,1
